Team,W_L,Date
DEN,L,2014-12-22
DEN,L,2014-12-23
DEN,W,2014-12-26
DEN,L,2014-12-28
DEN,L,2014-12-30
DEN,L,2015-01-01
DEN,W,2015-01-03
DEN,W,2015-01-05
DEN,W,2015-01-07
DEN,W,2015-01-09
DEN,W,2015-01-14
DEN,L,2015-01-16
DEN,L,2015-01-17
DEN,L,2015-01-19
DEN,L,2015-01-20
DEN,L,2015-01-23
DEN,L,2015-01-25
DEN,L,2015-01-26
DEN,W,2015-01-28
DEN,L,2015-01-29
DEN,L,2015-01-31
DEN,L,2015-02-03
DEN,L,2015-02-04
DEN,L,2015-02-06
DEN,L,2015-02-09
DEN,W,2015-02-10
DEN,L,2015-02-20
DEN,L,2015-02-22
DEN,L,2015-02-23
DEN,L,2015-02-25
DEN,L,2015-02-27
DEN,L,2015-03-01
DEN,W,2015-03-03
DEN,W,2015-03-04
DEN,L,2015-03-06
DEN,L,2015-03-07
DEN,W,2015-03-09
DEN,W,2015-03-11
DEN,W,2015-03-13
DEN,W,2015-03-15
DEN,L,2015-03-16
DEN,L,2015-03-19
DEN,L,2015-03-20
DEN,W,2015-03-22
DEN,L,2015-03-25
DEN,W,2015-03-27
DEN,L,2015-03-28
DEN,L,2015-04-01
DEN,L,2015-04-03
DEN,L,2015-04-04
DEN,W,2015-04-08
DEN,L,2015-04-10
DEN,W,2015-04-12
DEN,L,2015-04-13
DEN,L,2015-04-15
DET,L,2014-10-29
DET,L,2014-10-30
DET,L,2014-11-01
DET,W,2014-11-05
DET,W,2014-11-07
DET,L,2014-11-09
DET,L,2014-11-10
DET,L,2014-11-12
DET,W,2014-11-14
DET,L,2014-11-15
DET,L,2014-11-17
DET,L,2014-11-19
DET,L,2014-11-21
DET,L,2014-11-25
DET,L,2014-11-26
DET,L,2014-11-28
DET,L,2014-11-30
DET,L,2014-12-02
DET,L,2014-12-03
DET,L,2014-12-06
DET,L,2014-12-07
DET,L,2014-12-09
DET,W,2014-12-12
DET,W,2014-12-13
DET,L,2014-12-15
DET,L,2014-12-17
DET,L,2014-12-19
DET,L,2014-12-21
DET,W,2014-12-26
DET,W,2014-12-28
DET,W,2014-12-30
DET,W,2015-01-02
DET,W,2015-01-04
DET,W,2015-01-06
DET,W,2015-01-07
DET,L,2015-01-09
DET,W,2015-01-10
DET,W,2015-01-12
DET,L,2015-01-14
DET,W,2015-01-16
DET,W,2015-01-17
DET,L,2015-01-19
DET,W,2015-01-21
DET,L,2015-01-24
DET,L,2015-01-25
DET,L,2015-01-27
DET,L,2015-01-28
DET,W,2015-01-31
DET,W,2015-02-03
DET,L,2015-02-04
DET,W,2015-02-06
DET,L,2015-02-08
DET,W,2015-02-10
DET,L,2015-02-11
DET,W,2015-02-20
DET,W,2015-02-22
DET,L,2015-02-24
DET,L,2015-02-27
DET,L,2015-02-28
DET,L,2015-03-04
DET,L,2015-03-06
DET,L,2015-03-08
DET,L,2015-03-10
DET,L,2015-03-11
DET,L,2015-03-13
DET,L,2015-03-14
DET,W,2015-03-17
DET,L,2015-03-18
DET,W,2015-03-21
DET,W,2015-03-22
DET,W,2015-03-24
DET,W,2015-03-27
DET,L,2015-03-29
DET,W,2015-03-31
DET,L,2015-04-01
DET,L,2015-04-03
DET,W,2015-04-04
DET,L,2015-04-08
DET,L,2015-04-10
DET,W,2015-04-12
DET,L,2015-04-13
DET,W,2015-04-15
GSW,W,2014-10-29
GSW,W,2014-11-01
GSW,W,2014-11-02
GSW,W,2014-11-05
GSW,W,2014-11-08
GSW,L,2014-11-09
GSW,L,2014-11-11
GSW,W,2014-11-13
GSW,W,2014-11-15
GSW,W,2014-11-16
GSW,W,2014-11-21
GSW,W,2014-11-23
GSW,W,2014-11-25
GSW,W,2014-11-26
GSW,W,2014-11-28
GSW,W,2014-11-30
GSW,W,2014-12-02
GSW,W,2014-12-04
GSW,W,2014-12-06
GSW,W,2014-12-08
GSW,W,2014-12-10
GSW,W,2014-12-13
GSW,W,2014-12-14
GSW,L,2014-12-16
GSW,W,2014-12-18
GSW,W,2014-12-22
GSW,L,2014-12-23
GSW,L,2014-12-25
GSW,W,2014-12-27
GSW,W,2014-12-30
GSW,W,2015-01-02
GSW,W,2015-01-05
GSW,W,2015-01-07
GSW,W,2015-01-09
GSW,W,2015-01-13
GSW,W,2015-01-14
GSW,L,2015-01-16
GSW,W,2015-01-17
GSW,W,2015-01-19
GSW,W,2015-01-21
GSW,W,2015-01-23
GSW,W,2015-01-25
GSW,L,2015-01-27
GSW,L,2015-01-30
GSW,W,2015-01-31
GSW,W,2015-02-03
GSW,W,2015-02-04
GSW,L,2015-02-06
GSW,W,2015-02-07
GSW,W,2015-02-09
GSW,W,2015-02-11
GSW,W,2015-02-20
GSW,L,2015-02-22
GSW,W,2015-02-24
GSW,L,2015-02-26
GSW,W,2015-02-27
GSW,W,2015-03-01
GSW,L,2015-03-02
GSW,W,2015-03-04
GSW,W,2015-03-06
GSW,W,2015-03-08
GSW,W,2015-03-09
GSW,W,2015-03-11
GSW,L,2015-03-13
