player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
walter-sharpe,2008,81,245,1986-07-18
joey-dorsey,2008,80,268,1983-12-16
mario-chalmers,2008,74,190,1986-05-19
deandre-jordan,2008,83,265,1988-07-21
omer-ask,2008,84,255,1986-07-04
luc-mbah-a-moute,2008,80,230,1986-09-09
kyle-weaver,2008,78,201,1986-02-18
sonny-weems,2008,78,205,1986-07-08
chris-douglas-roberts,2008,79,200,1987-01-08
nathan-jawai,2008,82,280,1986-10-10
sean-singletary,2008,72,185,1985-09-06
patrick-ewing,2008,80,235,1984-05-20
ante-tomic,2008,86,265,1987-02-17
goran-dragic,2008,75,190,1986-05-06
trent-plaisted,2008,,,
henry-walker,2008,78,220,1987-10-09
malik-hairston,2008,78,220,1987-02-23
richard-hendrix,2008,,,
devon-hardin,2008,83,250,1986-08-07
shan-foster,2008,,,
darnell-jackson,2008,81,253,1985-11-07
tadija-dragicevic,2008,81,222,1986-01-28
maarty-leunen,2008,81,220,1985-09-03
mike-taylor,2008,74,165,1986-01-21
sasha-kaun,2008,83,260,1985-05-08
james-gist,2008,,,
joe-crawford,2008,77,210,1986-06-17
deron-washington,2008,,,
semih-erden,2008,84,240,1986-07-28
blake-griffin,2009,81,250,1989-03-16
hasheem-thabeet,2009,87,263,1987-02-16
james-harden,2009,77,220,1989-08-26
tyreke-evans,2009,78,220,1989-09-19
ricky-rubio,2009,75,190,1990-10-21
jonny-flynn,2009,72,185,1989-02-06
stephen-curry,2009,75,185,1988-03-14
jordan-hill,2009,82,235,1987-07-27
demar-derozan,2009,78,220,1989-08-07
brandon-jennings,2009,73,170,1989-09-23
terrence-williams,2009,78,220,1987-06-28
gerald-henderson,2009,77,215,1987-12-09
tyler-hansbrough,2009,81,250,1985-11-03
earl-clark,2009,82,225,1988-01-17
austin-daye,2009,83,220,1988-06-05
james-johnson,2009,79,240,1987-02-20
jrue-holiday,2009,75,205,1990-06-12
ty-lawson,2009,71,195,1987-11-03
jeff-teague,2009,75,195,1988-06-10
eric-maynor,2009,75,175,1987-06-11
darren-collison,2009,72,175,1987-08-23
victor-claver,2009,81,224,1988-08-30
omri-casspi,2009,81,225,1988-06-22
byron-mullens,2009,84,275,1989-02-14
rodrigue-beaubois,2009,72,170,1988-02-24
taj-gibson,2009,81,232,1985-06-24
demarre-carroll,2009,78,215,1986-07-27
wayne-ellington,2009,76,207,1987-11-29
toney-douglas,2009,74,195,1986-03-16
christian-eyenga,2009,77,210,1989-06-22
jeff-ayres,2009,81,240,1987-04-29
jermaine-taylor,2009,76,210,1986-12-08
dante-cunningham,2009,80,230,1987-04-22
sergio-llull,2009,75,190,1987-11-15
dajuan-summers,2009,80,230,1988-01-24
sam-young,2009,78,220,1985-06-01
dejuan-blair,2009,79,270,1989-04-22
jon-brockman,2009,79,255,1987-03-20
jonas-jerebko,2009,82,231,1987-03-02
derrick-brown,2009,79,225,1987-09-08
jodie-meeks,2009,76,210,1987-08-21
patrick-beverley,2009,73,180,1988-07-12
marcus-thornton,2009,76,205,1987-06-05
chase-budinger,2009,79,209,1988-05-22
nick-calathes,2009,78,213,1989-02-07
danny-green,2009,78,215,1987-06-22
henk-norel,2009,83,230,1987-09-17
taylor-griffin,2009,79,238,1986-04-18
sergiy-gladyr,2009,77,190,1989-10-17
goran-suton,2009,,,
jack-mcclinton,2009,,,
a.j.-price,2009,74,181,1986-10-07
nando-de-colo,2009,77,200,1987-06-23
robert-vaden,2009,,,
patty-mills,2009,73,180,1988-08-11
ahmad-nivins,2009,,,
emir-preldzic,2009,81,220,1987-09-06
lester-hudson,2009,75,190,1984-08-07
chinemelu-elonu,2009,82,235,1987-03-11
robert-dozier,2009,,,
john-wall,2010,75,210,1990-09-06
evan-turner,2010,78,220,1988-10-27
derrick-favors,2010,80,265,1991-07-15
wesley-johnson,2010,79,215,1987-07-11
demarcus-cousins,2010,82,270,1990-08-13
ekpe-udoh,2010,82,245,1987-05-20
greg-monroe,2010,83,265,1990-06-04
al-farouq-aminu,2010,80,220,1990-09-21
gordon-hayward,2010,79,225,1990-03-23
paul-george,2010,80,220,1990-05-02
cole-aldrich,2010,83,250,1988-10-31
xavier-henry,2010,78,220,1991-03-15
ed-davis,2010,81,218,1989-06-05
patrick-patterson,2010,80,235,1989-03-14
larry-sanders,2010,83,235,1988-11-21
luke-babbitt,2010,81,225,1989-06-20
kevin-seraphin,2010,81,285,1989-12-07
eric-bledsoe,2010,73,214,1989-12-09
avery-bradley,2010,75,180,1990-11-26
james-anderson,2010,78,213,1989-03-25
craig-brackins,2010,82,230,1987-10-09
elliot-williams,2010,77,190,1989-06-20
trevor-booker,2010,80,228,1987-11-25
damion-james,2010,79,225,1987-10-07
dominique-jones,2010,76,215,1988-10-15
quincy-pondexter,2010,79,230,1988-03-10
jordan-crawford,2010,76,195,1988-10-23
greivis-vasquez,2010,78,217,1987-01-16
daniel-orton,2010,82,255,1990-08-06
lazar-hayward,2010,78,225,1986-11-26
tibor-plei,2010,87,256,1989-11-02
dexter-pittman,2010,83,308,1988-03-02
hassan-whiteside,2010,84,265,1989-06-13
armon-johnson,2010,75,195,1989-02-23
