team,player,college
OKC,eric-bledsoe,Kentucky
BOS,avery-bradley,Texas
SAS,james-anderson,Oklahoma State
OKC,craig-brackins,Iowa State
POR,elliot-williams,Memphis
MIN,trevor-booker,Clemson
ATL,damion-james,Texas
MEM,dominique-jones,South Florida
OKC,quincy-pondexter,Washington
NJN,jordan-crawford,Xavier
MEM,greivis-vasquez,Maryland
ORL,daniel-orton,Kentucky
WAS,lazar-hayward,Marquette
NJN,tibor-plei,
MIA,dexter-pittman,Texas
SAC,hassan-whiteside,Marshall
POR,armon-johnson,Nevada
WAS,nemanja-bjelica,
DET,terrico-white,Ole Miss
MIL,darington-hobson,New Mexico
NYK,andy-rautins,Syracuse
NYK,landry-fields,Stanford
IND,lance-stephenson,Cincinnati
MIA,jarvis-varnado,Mississippi State
MIA,da'sean-butler,West Virginia
LAL,devin-ebanks,West Virginia
MIL,jerome-jordan,Tulsa
MIN,paulao-prestes,
PHO,gani-lawal,Georgia Tech
MIL,tiny-gallon,Oklahoma
MIA,latavious-williams,
SAS,ryan-richards,
DAL,solomon-alabi,Florida State
OKC,magnum-rolle,Louisiana Tech
BOS,luke-harangody,Notre Dame
ATL,pape-sy,
LAC,willie-warren,Oklahoma
UTA,jeremy-evans,Western Kentucky
MIN,hamady-n'diaye,Rutgers University
IND,ryan-reid,Florida State
LAL,derrick-caracter,Texas-El Paso
ORL,stanley-robinson,UConn
PHO,dwayne-collins,Miami (FL)
CLE,kyrie-irving,Duke
MIN,derrick-williams,Arizona
UTA,enes-kanter,
CLE,tristan-thompson,Texas
TOR,jonas-valanciunas,
WAS,jan-vesely,
SAC,bismack-biyombo,
DET,brandon-knight,Kentucky
CHA,kemba-walker,UConn
MIL,jimmer-fredette,BYU
GSW,klay-thompson,Washington State
UTA,alec-burks,Colorado
PHO,markieff-morris,Kansas
HOU,marcus-morris,Kansas
IND,kawhi-leonard,San Diego State
PHI,nikola-vucevic,USC
NYK,iman-shumpert,Georgia Tech
WAS,chris-singleton,Florida State
CHA,tobias-harris,Tennessee
MIN,donatas-motiejunas,
POR,nolan-smith,Duke
DEN,kenneth-faried,Morehead State University
HOU,nikola-mirotic,
OKC,reggie-jackson,Boston College
BOS,marshon-brooks,Providence
DAL,jordan-hamilton,Texas
NJN,jajuan-johnson,Purdue
CHI,norris-cole,Cleveland State University
SAS,cory-joseph,Texas
CHI,jimmy-butler,Marquette
MIA,bojan-bogdanovic,
CLE,justin-harper,Richmond
DET,kyle-singler,Duke
WAS,shelvin-mack,Butler
SAC,tyler-honeycutt,UCLA
NJN,jordan-williams,Maryland
LAC,trey-thompkins,Georgia
HOU,chandler-parsons,Florida
CHA,jeremy-tyler,
MIL,jon-leuer,Wisconsin
LAL,darius-morris,Michigan
IND,davis-bertans,
CHI,malcolm-lee,UCLA
GSW,charles-jenkins,Hofstra
NOH,josh-harrellson,Kentucky
LAL,andrew-goudelock,College of Charleston
LAC,travis-leslie,Georgia
ATL,keith-benson,Oakland
MEM,josh-selby,Kansas
PHI,lavoy-allen,Temple
POR,jon-diebler,Ohio State
