College,Year,Games,Wins
FIU,2018,29,14
Florida Atlantic,2018,28,12
Louisiana Tech,2018,31,17
Middle Tennessee,2018,32,25
North Texas,2018,36,20
Old Dominion,2018,32,25
Rice,2018,29,7
Southern Miss,2018,30,16
UAB,2018,31,20
UTEP,2018,30,11
UTSA,2018,32,20
Western Kentucky,2018,37,27
Charlotte,2019,29,8
FIU,2019,30,20
Florida Atlantic,2019,30,17
Louisiana Tech,2019,31,20
Marshall,2019,37,23
Middle Tennessee,2019,30,11
North Texas,2019,30,21
Rice,2019,30,13
Southern Miss,2019,29,20
UAB,2019,33,20
UTEP,2019,27,8
UTSA,2019,28,17
Western Kentucky,2019,34,20
Cleveland St.,2015,32,17
Detroit,2015,31,13
Green Bay,2015,31,22
Illinois Chicago,2015,32,8
Milwaukee,2015,28,12
Oakland,2015,31,14
Wright St.,2015,29,9
Youngstown St.,2015,29,8
Cleveland St.,2016,30,7
Detroit,2016,29,14
Illinois Chicago,2016,28,3
Milwaukee,2016,31,18
Northern Kentucky,2016,28,7
Oakland,2016,35,23
Valparaiso,2016,35,28
Wright St.,2016,33,20
Youngstown St.,2016,30,9
Cleveland St.,2017,30,9
Detroit,2017,30,8
Green Bay,2017,30,18
Illinois Chicago,2017,34,17
Milwaukee,2017,34,11
Oakland,2017,32,25
Valparaiso,2017,32,24
Wright St.,2017,30,20
Youngstown St.,2017,32,13
Cleveland St.,2018,34,12
Detroit,2018,30,8
Green Bay,2018,30,13
Illinois Chicago,2018,34,20
IUPUI,2018,28,11
Milwaukee,2018,31,16
Northern Kentucky,2018,30,22
Oakland,2018,33,19
Youngstown St.,2018,30,8
Cleveland St.,2019,29,10
Detroit,2019,31,11
Green Bay,2019,36,21
Illinois Chicago,2019,30,16
IUPUI,2019,31,16
Milwaukee,2019,30,9
Oakland,2019,32,16
Wright St.,2019,33,21
Youngstown St.,2019,30,12
NJIT,2015,29,17
Brown,2015,29,11
Columbia,2015,27,12
Cornell,2015,29,12
Dartmouth,2015,29,14
Penn,2015,28,9
Princeton,2015,29,15
Yale,2015,30,20
Brown,2016,27,7
Columbia,2016,33,23
Cornell,2016,27,9
Dartmouth,2016,27,9
Harvard,2016,28,12
Penn,2016,27,10
Princeton,2016,28,21
Brown,2017,28,13
Columbia,2017,26,11
Cornell,2017,28,8
Dartmouth,2017,27,7
Harvard,2017,26,18
Penn,2017,28,13
Yale,2017,28,18
Brown,2018,26,11
